"","title_proximity_tfidf","description_proximity_tfidf","main_query_tfidf","query_jl_score","query_title_score","city_match","job_age_days","apply","search_date_pacific","class_id"
"549",0,0,0,0.015100259,0.021819407,1,6,0,"2018-01-23",3137307170067786240
"188",0,0,0,0.011113059,0.01344157,1,3,0,"2018-01-24",-6998215076096305152
"804",9.197644,0.028869221,0,0.01896124,0.013888889,1,1,0,"2018-01-24",8822383975910322176
"738",0,0,1.1595632,0.012620781,0.015803698,1,8,0,"2018-01-26",4.315422483091e+18
"655",15.947648,0,3.131012,0.024912337,0.027712349,0,27,0,"2018-01-23",-4175733961318103552
"1157",0,0,0.84858334,0.010851126,0.008191726,1,7,0,"2018-01-24",9187774158059236352
"547",0,0,2.6169658,0.013546675,0.026418908,1,0,1,"2018-01-23",-7485608206391772160
"1236",0,0,1.3165127,0.008195024,0.010411542,1,3,0,"2018-01-25",9204124302215888896
"1291",0,0,0,0.006129141,0.006780774,1,2,0,"2018-01-26",1861515439563363328
"213",14.15044,0.23054874,3.53761,0.01060003,0.00880544,0,6,0,"2018-01-23",-7435860353377593344
"941",14.669287,0.104662776,3.4193943,0.018665701,0.008196721,0,3,0,"2018-01-27",-5302120391854416896
"1329",0,0,0,1e-06,0.0019005461,0,13,0,"2018-01-23",-507318753207970304
"303",0,0,2.8187473,1e-06,1e-06,0,1,0,"2018-01-26",-7731275881257459712
"194",0,0,1.0425198,0.015882451,0.016713692,1,37,0,"2018-01-26",-2633997089996197376
"780",0,0,1.7199336,0.01827799,0.02365067,0,1,0,"2018-01-23",-547059124907035648
"707",0,0,5.8209496,0.019952673,0.036104497,0,13,0,"2018-01-24",1424940020905479168
"119",0,0,3.4447715,0.01377735,0.011779801,1,24,0,"2018-01-23",-507318753207970304
"1170",0,0,1.4742805,0.007076155,0.006829526,0,15,0,"2018-01-23",2666095119806832128
"381",0,0,1.0243318,1e-06,0.012036494,0,19,0,"2018-01-24",-4530023448177795584
"103",18.400007,0.3846779,0,0.011387299,0.06484421,0,1,0,"2018-01-24",1424940020905479168
"1145",0,0,0,0.01524986,0.010800816,1,0,0,"2018-01-23",-3214316587352202752
"1628",0,0.21634547,0,0.026162688,0.028607473,1,6,0,"2018-01-25",3820235585099670016
"1670",23.103676,0.018769296,4.9693155,0.008453822,0.19614714,1,27,0,"2018-01-25",-1614082818015232512
"480",0,0,0,0.015805935,0.013692568,0,27,0,"2018-01-23",-4246715430060585472
