extract_date,tx_incid,R,taux_occupation_sae,tx_pos,n_dose1,n_complet,n_cum_dose1,n_cum_complet
27/12/2020,123.044038072267,0.96,52.4,2.80980841952402,236,4,236,4
28/12/2020,124.204732489364,0.95,53.3,3.15660008118703,248,1,484,5
29/12/2020,126.003138344866,0.95,52.7,3.73898922123071,189,0,673,5
30/12/2020,129.529920996046,0.95,52.4,4.49770598059241,217,1,890,6
31/12/2020,133.357679606472,0.97,51.9,5.05575263229247,176,0,1066,6
01/01/2021,133.678025305671,0.99,51.6,5.08465354783206,196,2,1262,8
02/01/2021,139.113472332077,1.02,52,5.29590438943043,154,5,1416,13
03/01/2021,140.18774790939,1.06,52.7,5.34113022804838,188,0,1604,13
04/01/2021,148.762582787945,1.1,52.5,5.62288033934845,1638,9,3242,22
05/01/2021,152.576931578405,1.14,51.7,5.83869772215412,5601,25,8843,47
06/01/2021,152.995615957358,1.17,51.5,6.12671085550084,11494,53,20337,100
07/01/2021,157.771001845415,1.18,50.9,6.32432219354022,28927,92,49264,192
08/01/2021,184.417804098771,1.19,51.5,6.28882819942839,36610,129,85874,321
09/01/2021,180.722653708013,1.18,51.4,6.27576376115341,11031,26,96905,347
10/01/2021,180.357608608926,1.16,51.8,6.27895106498422,5727,13,102632,360
11/01/2021,177.760573475421,1.15,52.7,6.33220174896661,39483,134,142115,494
12/01/2021,175.115858982035,1.13,52.9,6.26266210963935,61492,218,203607,712
13/01/2021,175.646291860709,1.11,53.4,6.27896534624724,64438,287,268045,999
14/01/2021,177.432777876241,1.1,53.7,6.3459176305391,81291,832,349336,1831
15/01/2021,179.667747870651,1.09,54,6.4129305237496,68281,424,417617,2255
16/01/2021,181.005749907305,1.09,54,6.41638866998925,19926,152,437543,2407
17/01/2021,181.405064546306,1.08,54.7,6.42474108425355,10659,79,448202,2486
18/01/2021,185.945033594951,1.08,55.4,6.64023279683432,85123,473,533325,2959
19/01/2021,189.50012586606,1.08,55.9,6.77541453019911,129615,573,662940,3532
20/01/2021,191.976472619867,1.08,56.2,6.83241143901949,136452,578,799392,4110
21/01/2021,194.828294332734,1.08,56.7,6.85699932142666,156909,631,956301,4741
22/01/2021,197.692035885572,1.08,57.4,6.83717917469047,119990,560,1076291,5301
23/01/2021,199.171586021872,1.08,57.1,6.8617239982732,38098,131,1114389,5432
24/01/2021,199.043447742192,1.08,58.4,6.86584899531682,9497,51,1123886,5483
25/01/2021,200.129643159476,1.07,59.9,6.84154630957262,77502,1416,1201388,6899
26/01/2021,199.378693241354,1.06,60.7,6.7509733221198,99654,3403,1301042,10302
27/01/2021,198.828890622729,1.05,61.2,6.66226656055821,106466,5989,1407508,16291
28/01/2021,199.603680220791,1.04,61.3,6.53484839467823,123448,14808,1530956,31099
29/01/2021,199.956805479908,1.03,61.7,6.43328370186219,91457,17627,1622413,48726
30/01/2021,200.068553979629,1.03,61.3,6.38395083621883,28865,4281,1651278,53007
31/01/2021,200.649646178175,1.02,62.2,6.39894245865059,5013,1683,1656291,54690
01/02/2021,200.929762417475,1.02,63.6,6.42053978545511,52046,21179,1708337,75869
02/02/2021,201.749251415425,1.01,64.7,6.377808519728,71356,34734,1779693,110603
03/02/2021,201.138359616953,1.01,64.6,6.32847659765977,71536,37101,1851229,147704
04/02/2021,198.639663163202,1,64.1,6.25063295412348,81214,50279,1932443,197983
05/02/2021,196.267615009135,0.98,64,6.13736325176585,67587,45447,2000030,243430
06/02/2021,195.095000752067,0.97,63.6,6.07108761481991,21792,10432,2021822,253862
07/02/2021,194.299351434057,0.95,64.5,6.04773856762036,4946,5106,2026768,258968
08/02/2021,187.813468510279,0.94,66.3,5.92736833047038,46222,46133,2072990,305101
09/02/2021,183.416537541275,0.92,65.9,5.80853538558813,65348,72907,2138338,378008
10/02/2021,179.76012663042,0.91,65.4,5.69987206162208,69934,77250,2208272,455258
11/02/2021,174.959411082426,0.91,65.8,5.5642456088642,86336,100100,2294608,555358
12/02/2021,170.592279713349,0.9,65.2,5.45811652480258,78352,75243,2372960,630601
13/02/2021,168.588256618361,0.91,65.1,5.39284071654795,21889,19657,2394849,650258
14/02/2021,168.556967038439,0.91,65.2,5.39319704021812,4721,7228,2399570,657486
15/02/2021,167.490141361107,0.92,66.6,5.41230871599763,37398,76776,2436968,734262
16/02/2021,167.391802681353,0.93,66,5.45858530105426,49601,101149,2486569,835411
17/02/2021,169.507574276062,0.95,66,5.54386556521943,49730,103304,2536299,938715
18/02/2021,173.990924084849,0.98,66.9,5.67502655901155,68795,119322,2605094,1058037
19/02/2021,179.547059490953,1,66.8,5.83918367821617,64349,91551,2669443,1149588
20/02/2021,182.191773984338,1.03,66.6,5.91365763869611,18197,28523,2687640,1178111
21/02/2021,182.848855162695,1.05,67.1,5.9345692928994,3011,6405,2690651,1184516
22/02/2021,189.082931467104,1.07,67.4,6.21813526010938,36852,73323,2727503,1257839
23/02/2021,192.721462618004,1.07,67.9,6.39771009017484,53034,84648,2780537,1342487
24/02/2021,194.753795332921,1.07,67.9,6.49065474626863,58936,81749,2839473,1424236
25/02/2021,195.536034830964,1.07,67.8,6.56071917248371,99597,93155,2939070,1517391
26/02/2021,194.552648033424,1.06,68.1,6.56763623139784,112525,73174,3051595,1590565
27/02/2021,194.680786313103,1.05,68.3,6.59184207831205,51556,22912,3103151,1613477
28/02/2021,194.555627993416,1.04,69,6.58722207256155,5847,4542,3108998,1618019
01/03/2021,191.976472619867,1.03,70.1,6.57171609288794,64392,53892,3173390,1671911
02/03/2021,190.441793223705,1.02,70.9,6.54666202956511,100203,68283,3273593,1740194
03/03/2021,189.555255125922,1.02,71.9,6.54065209098303,114921,67957,3388514,1808151
04/03/2021,188.765565727897,1.01,71.8,6.49601696583861,162144,73025,3550658,1881176
05/03/2021,189.221499606757,1.01,72.8,6.47864072816094,199393,68738,3750051,1949914
06/03/2021,190.832167982729,1.01,72.9,6.50178640867385,206811,22210,3956862,1972124
07/03/2021,191.128674001987,1.02,74,6.5088388098825,120551,8214,4077413,1980338
08/03/2021,193.967085894888,1.03,76.1,6.58268057355551,105906,53312,4183319,2033650
09/03/2021,197.67713608561,1.04,77.5,6.60565432179904,171117,60916,4354436,2094566
10/03/2021,202.670059053122,1.06,77.5,6.68645077184063,177198,61486,4531634,2156052
11/03/2021,208.817716517747,1.09,78.9,6.66726925876415,241193,69557,4772827,2225609
12/03/2021,215.573285820851,1.11,79.7,6.67064711482824,293150,61341,5065977,2286950
13/03/2021,220.533429228446,1.13,80.5,6.72781554064435,230084,20338,5296061,2307288
14/03/2021,222.169427264354,1.15,81.6,6.75530946148347,62746,5155,5358807,2312443
15/03/2021,236.252718189132,1.17,83.4,7.03714092211883,157172,36400,5515979,2348843
16/03/2021,246.856905822611,1.18,83.8,7.12327919008267,140363,42664,5656342,2391507
17/03/2021,256.742923097886,1.2,83.4,7.22635748186103,149273,42472,5805615,2433979
18/03/2021,266.552951393351,1.21,83.9,7.27123080549843,166379,48995,5971994,2482974
19/03/2021,276.616276288183,1.22,84.8,7.30992908639175,228554,43525,6200548,2526499
20/03/2021,282.138142154373,1.23,86.1,7.33804201072357,165691,15783,6366239,2542282
21/03/2021,283.276486871525,1.23,87.1,7.35150422384462,49252,4162,6415491,2546444
22/03/2021,295.434723641118,1.23,89.9,7.47548368148749,168580,38875,6584071,2585319
23/03/2021,306.356277013803,1.23,91.6,7.51458797335534,248689,48930,6832760,2634249
24/03/2021,316.334673048847,1.23,92,7.53838555383032,255266,50498,7088026,2684747
25/03/2021,326.79731258268,1.22,93.1,7.53912642654069,340099,54154,7428125,2738901
26/03/2021,336.827857917594,1.21,94.2,7.54985545658087,357250,52143,7785375,2791044
27/03/2021,343.380789941205,1.2,94.7,7.53434689249874,194300,22376,7979675,2813420
28/03/2021,343.55064766078,1.19,96.3,7.52798581470904,58803,5554,8038478,2818974
29/03/2021,352.775113817709,1.18,98.3,7.53097363992235,201799,60005,8240277,2878979
30/03/2021,360.919344477341,1.16,100.3,7.43970525092432,283825,78564,8524102,2957543
31/03/2021,364.633864608051,1.14,99.9,7.31697764010997,261408,81957,8785510,3039500
01/04/2021,366.539549023285,1.11,101,7.15236027918287,312668,99496,9098178,3138996
02/04/2021,364.693463807902,1.08,103.9,7.03906536911783,279717,102323,9377895,3241319
03/04/2021,363.48658001092,1.04,104.3,6.89410773283234,140039,66306,9517934,3307625
04/04/2021,363.203483811628,1,105.6,6.88137390348958,45285,20432,9563219,3328057
05/04/2021,296.857654537559,0.97,107.4,6.61359265970749,59483,13327,9622702,3341384
06/04/2021,312.188058719218,0.95,111.2,7.09995510110722,215258,115190,9837960,3456574
07/04/2021,311.414759101152,0.94,113.3,7.3052252181718,258091,125110,10096051,3581684
08/04/2021,307.691299090464,0.94,112.8,7.69302123201887,335349,134977,10431400,3716661
09/04/2021,306.609573613169,0.95,113.8,8.10765022305977,407877,131804,10839277,3848465
10/04/2021,306.223668794135,0.96,114.1,8.41041716114353,211413,90116,11050690,3938581
11/04/2021,306.336907273851,0.97,115.4,8.43811998827845,55386,36818,11106076,3975399
12/04/2021,362.489783393413,0.97,117,8.85595678987629,235360,123420,11341436,4098819
13/04/2021,333.435173466079,0.98,117.7,8.85957230497341,307415,156253,11648851,4255072
14/04/2021,322.445081013565,0.97,116.7,8.91335704088853,291907,151157,11940758,4406229
15/04/2021,314.13844253434,0.97,117.1,8.97531080729011,334162,161652,12274920,4567881
16/04/2021,305.663436315536,0.96,116.9,9.06459027606557,337491,158925,12612411,4726806
17/04/2021,300.208619549178,0.95,116.2,9.06515338571567,187581,97136,12799992,4823942
18/04/2021,299.59623777071,0.94,116.5,9.07350307325128,50896,37603,12850888,4861545
19/04/2021,292.261066249055,0.93,118,9.16246654303745,203955,146577,13054843,5008122
20/04/2021,286.892668322481,0.92,118.3,9.18859409471007,252230,181285,13307073,5189407
21/04/2021,283.112589071935,0.91,117.8,9.24262979427584,251106,179770,13558179,5369177
22/04/2021,278.015367504684,0.9,118.2,9.24730990952415,285407,201712,13843586,5570889
23/04/2021,272.173155939295,0.89,117.9,9.22217190481023,294403,199519,14137989,5770408
24/04/2021,267.85668389009,0.88,117.8,9.17037517675361,189165,121279,14327154,5891687
25/04/2021,266.403953393724,0.88,118.2,9.13218290414418,68816,42340,14395970,5934027
26/04/2021,255.787845920275,0.86,118.6,8.87437327762812,219296,168506,14615266,6102533
27/04/2021,246.940344702402,0.85,117.5,8.4837217111591,282588,209822,14897854,6312355
28/04/2021,236.380856468811,0.84,116.2,8.14844262417172,297559,207639,15195413,6519994
29/04/2021,226.38160071382,0.82,114.7,7.56363723255387,354858,230303,15550271,6750297
30/04/2021,217.899144595034,0.81,112.2,6.96947486007961,370072,223364,15920343,6973661
01/05/2021,197.768024865382,0.79,110.3,6.74865466200798,165000,63269,16085343,7036930
02/05/2021,197.681606025598,0.78,110.4,6.72070626328448,90679,43227,16176022,7080157
03/05/2021,189.805571765296,0.77,111.3,6.30956950714846,285740,189302,16461762,7269459
04/05/2021,182.951663782438,0.76,108.8,5.95145311076213,312575,249702,16774337,7519161
