Gender,Webcam status during class,Mic status during class,Which device do you use for online classes?,Did you face any of the following issues after the initiation of online classes?,Are you able to understand the concepts through online classes?,Which teaching methodology do you prefer?,Are you interested in attending online classes?,If you are given a choice between online classes and offline classes which one will you choose?,Comments on online classes
Male,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Headache",Yes,Black board teaching,Yes,Offline classes,
Male,Off (No webcam available),On (To answer Teacher),Computer,Eye Strain,Yes,Presentations (ppt),Yes,Online classes,"Good Teaching , But It can be improved "
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,I would prefer offline classes 
Male,On (All the time),On (To answer Teacher),Computer,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache",Yes,Black board teaching,Yes,Offline classes,
Male,On (All the time),On (To answer Teacher),Tab,Back pain,No,Black board teaching,No,Online classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,Due to this situation I am ok with online classes
Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Offline classes,
Male,Off (Other reason),On (To answer Teacher),Phone,Eye Strain,Yes,Presentations (ppt),Yes,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress, Other",Yes,Presentations (ppt),No,Offline classes,It's good to have ppts because interesting but the fact at sitting at home and attending classes don't do hand in hand 
Male,Off (Other reason),Off (Other reason),Phone,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,"I think the time of each class should be minimised to 40 minutes and a break of 10 minutes should be compulsory given (which is not given now)so everyone will be refreshed.As these are online classes,hectic schedule make no sense, classes should be happened in  minimum time so that eveyone will be concentrating properly.As it is home not everyone will show interest upto the mark as compared to offline teaching,so teachers have a responsibility to adopt to new teaching techniques for online teaching and there are lot more points to be considered ."
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,
Male,Off (No webcam available),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Offline classes,"Good
"
Female,Off (Other reason),Always On,Laptop,Eye Strain,Yes,Presentations (ppt),Yes,Offline classes,It's great way of teaching classes and get to lot many new emerging technologies
Male,On (When teacher asks),Off (Other reason),"Tab, Laptop, Computer",No Issue,Yes,Presentations (ppt),Yes,Online classes,
Male,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Black board teaching,No,Offline classes,
Female,Off (No webcam available),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress, Other",No,Presentations (ppt),No,Offline classes,Internet is not always available. There are frequent power cuts. Online learning is not comfortable for everyone.
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,No,Black board teaching,Yes,Online classes,
Female,Off (Untidy appearance),On (To answer Teacher),Phone,"Eye Strain, Stress",No,Black board teaching,No,Offline classes,Hate online classes . Just waiting for offline classes to start. 
Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,Good!
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,
Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Black board teaching,Yes,Online classes,I really loved how they arrange breakout room sessions requesting you to put that for every subject it's more interactive 
Female,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (All the time),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,Off (Other reason),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",Yes,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Online classes,
Male,On (When teacher asks),Always On,Computer,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,Boring
Male,On (When teacher asks),On (To answer Teacher),Tab,"Eye Strain, Headache",Yes,Presentations (ppt),No,Offline classes,Offline > Online
Female,On (When teacher asks),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,Online classes are causing really a lot of stress and many health related problems
Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Black board teaching,No,Offline classes,Offline teaching has a better interactivity with the lecturers as well as with the students for a better experience of learning in my opinion. Online platforms as of right now aren’t that great for a better combined learning experience. It feels more like a presenter and audience scenario.
Female,Off (Shy to switch on),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress",No,Presentations (ppt),No,Offline classes,Not helpful 
Male,On (When teacher asks),On (To answer Teacher),Phone,No Issue,No,Black board teaching,No,Offline classes,
